State,Country,Year,Migrants
QLD,South Africa,2018,1120
QLD,Iran,2018,280
QLD,Ireland,2018,-90
QLD,Hong Kong,2018,140
SA,India,2018,3570
SA,China,2018,1920
SA,New Zealand,2018,70
SA,Philippines,2018,700
SA,Nepal,2018,740
SA,Sri Lanka,2018,340
SA,Bangladesh,2018,180
SA,Pakistan,2018,520
SA,Vietnam,2018,540
SA,Indonesia,2018,120
SA,Afghanistan,2018,530
SA,South Africa,2018,340
SA,Iran,2018,240
SA,Ireland,2018,20
SA,Hong Kong,2018,130
WA,India,2018,3480
WA,China,2018,1170
WA,New Zealand,2018,-790
WA,Philippines,2018,1360
WA,Nepal,2018,510
WA,Sri Lanka,2018,210
WA,Bangladesh,2018,90
WA,Pakistan,2018,620
WA,Vietnam,2018,420
WA,Indonesia,2018,370
WA,Afghanistan,2018,290
WA,South Africa,2018,780
WA,Iran,2018,190
WA,Ireland,2018,-300
WA,Hong Kong,2018,-40
TAS,India,2018,330
TAS,China,2018,700
TAS,New Zealand,2018,10
TAS,Philippines,2018,110
TAS,Nepal,2018,130
TAS,Sri Lanka,2018,60
TAS,Bangladesh,2018,50
TAS,Pakistan,2018,90
TAS,Vietnam,2018,100
TAS,Indonesia,2018,20
TAS,Afghanistan,2018,80
TAS,South Africa,2018,70
TAS,Iran,2018,90
TAS,Ireland,2018,0
TAS,Hong Kong,2018,50
NT,India,2018,310
NT,China,2018,160
NT,New Zealand,2018,-40
NT,Philippines,2018,300
NT,Nepal,2018,170
NT,Sri Lanka,2018,90
NT,Bangladesh,2018,50
NT,Pakistan,2018,60
NT,Vietnam,2018,80
NT,Indonesia,2018,120
NT,Afghanistan,2018,0
NT,South Africa,2018,20
NT,Iran,2018,0
NT,Ireland,2018,-80
NT,Hong Kong,2018,0
ACT,India,2018,800
ACT,China,2018,1510
ACT,New Zealand,2018,100
ACT,Philippines,2018,260
ACT,Nepal,2018,160
ACT,Sri Lanka,2018,90
ACT,Bangladesh,2018,50
ACT,Pakistan,2018,140
ACT,Vietnam,2018,110
ACT,Indonesia,2018,80
ACT,Afghanistan,2018,40
ACT,South Africa,2018,80
ACT,Iran,2018,50
ACT,Ireland,2018,-10
ACT,Hong Kong,2018,30
NSW,India,2017,17020
NSW,China,2017,19250
NSW,New Zealand,2017,1420
NSW,Philippines,2017,4780
